CA4005                P00000036100000000000                                                                                                                                                                                                                                 
MV20106758477F0011868                        01000000361000000000000                                                                                                                                                                                                        
MV20516410354E001657                         01000000361000000000000                                                                                                                                                                                                        
MV20516410354E001656                         01000000361000000000000                                                                                                                                                                                                        
MV20516410354E001655                         01000000361000000000000                                                                                                                                                                                                        
MV20516410354E001654                         01000000361000000000000                                                                                                                                                                                                        
MV20442241431E0011035                        01000000361000000000000                                                                                                                                                                                                        
MV20442241431E0011036                        01000000361000000000000                                                                                                                                                                                                        
MV20442241431E0011037                        01000000361000000000000                                                                                                                                                                                                        
MV20106696269F0032826                        01000000361000000000000                                                                                                                                                                                                        
MV20483899379F00183                          01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001476                         01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001462                         01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001446                         01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001382                         01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001377                         01000000361000000000000                                                                                                                                                                                                        
MV20135072797F001376                         01000000361000000000000                                                                                                                                                                                                        
MV20385218029F0017111                        01000000361000000000000                                                                                                                                                                                                        
TA0000000017                                                                                                                                                                                                                                                                
